team_one_win,duration,type,team_one_barons,team_two_barons,team_one_dragons,team_two_dragons,team_one_rift_heralds,team_two_rift_heralds,team_one_first_baron,team_one_first_blood,team_one_first_dragon,team_one_first_inhibitor,team_one_first_rift_herald,team_one_first_tower,team_one_assists,team_two_assists,team_one_level,team_two_level,team_one_kills,team_two_kills,team_one_obj_damage,team_two_obj_damage,team_one_deaths,team_two_deaths,team_one_gold,team_two_gold,team_one_double_kills,team_two_double_kills,team_one_damage,team_two_damage,team_one_enemy_monsters_killed,team_two_enemy_monsters_killed,team_one_cc_time,team_two_cc_time,team_one_healing,team_two_healing,team_one_champ_damage,team_two_champ_damage,team_one_cs,team_two_cs,team_one_vision_score,team_two_vision_score,team_one_top_avg_cs_diff,team_one_jungle_avg_cs_diff,team_one_mid_avg_cs_diff,team_one_bot_avg_cs_diff,team_one_top_avg_dmg_taken_diff,team_one_jungle_avg_dmg_taken_diff,team_one_mid_avg_dmg_taken_diff,team_one_bot_avg_dmg_taken_diff,team_one_top_avg_xp_diff,team_one_jungle_avg_xp_diff,team_one_mid_avg_xp_diff,team_one_bot_avg_xp_diff,team_one_top_champ,team_one_jungle_champ,team_one_mid_champ,team_one_bot_champ,team_one_top_champ_diff,team_one_jungle_champ_diff,team_one_mid_champ_diff,team_one_bot_champ_diff,team_one_top_champ_type,team_one_jungle_champ_type,team_one_mid_champ_type,team_one_bot_champ_type,team_two_top_champ,team_two_jungle_champ,team_two_mid_champ,team_two_bot_champ,team_two_top_champ_diff,team_two_jungle_champ_diff,team_two_mid_champ_diff,team_two_bot_champ_diff,team_two_top_champ_type,team_two_jungle_champ_type,team_two_mid_champ_type,team_two_bot_champ_type
0,2593,CLASSIC,1,0,4,3,1,1,1,1,1,1,0,1,61,71,81,86,36,42,102604,70334,42,36,75551,80232,2,2,862745,982263,17,50,436,125,57026,42095,140496,131956,686,810,202,198,-0.3,1.85,-0.1,-3.525,265.225,582.975,-397.975,-639.2,-48.9,150.475,5.425,-124.075,Fiora,Nocturne,Lux,Jhin,3,4,5,6,Fighter,Assassin,Mage,Marksman,Garen,Shaco,Diana,Kaisa,5,9,4,6,Fighter,Assassin,Fighter,Marksman
0,2819,CLASSIC,1,2,3,4,0,1,0,0,0,1,0,0,38,50,87,89,30,36,71814,132730,36,30,80325,88011,4,4,1173024,1432230,29,71,107,211,51559,83660,131291,122415,885,962,255,249,0,0,-0.15,1.85,0,0,-182.6416667,26.14166667,0,0,7.258333333,69.28333333,Vladimir,Graves,Veigar,Karma,7,3,7,5,Mage,Marksman,Mage,Mage,,Shaco,Neeko,Senna,0,9,5,7,,Assassin,Mage,Marksman
0,2282,CLASSIC,0,1,3,3,2,0,0,1,1,0,1,1,47,45,79,85,29,43,49051,80327,43,29,64744,72273,2,3,744980,821287,8,37,124,93,33420,70526,131312,106397,686,727,161,213,0,0.325,0.525,-0.425,-233.375,-442.95,-59.675,-710.55,-40.45,-24.675,3.3,-52.75,Teemo,Khazix,Viktor,Ezreal,6,6,9,7,Marksman,Assassin,Mage,Marksman,Garen,Nidalee,Talon,Thresh,5,8,7,7,Fighter,Assassin,Assassin,Support
0,1782,CLASSIC,0,1,2,3,0,2,0,1,1,0,0,0,36,60,66,73,21,38,37118,64069,38,21,46950,58928,3,1,528047,581128,1,29,72,125,19259,53741,96820,77406,520,523,143,158,-1.65,0.2,-0.15,0.45,-332.45,-178.4,-321.5,-297.85,-80.1,-187.6,-21.15,2.5,Jayce,MasterYi,KogMaw,Lulu,7,4,6,5,Fighter,Assassin,Marksman,Support,Gnar,DrMundo,Yone,Jhin,8,5,8,6,Fighter,Fighter,Assassin,Marksman
0,2072,CLASSIC,0,1,2,3,0,2,0,0,0,0,0,0,53,57,77,79,30,37,54387,74326,37,30,62082,65038,2,5,738561,753372,21,0,160,287,51552,52828,116216,125152,663,613,183,208,0,0.566666667,0,0,0,315.7333333,0,0,0,70.7,0,0,Gnar,Kayn,Annie,Lulu,8,8,6,5,Fighter,Fighter,Mage,Support,Bard,Ekko,,Samira,9,8,0,6,Support,Assassin,,Marksman
1,2292,CLASSIC,1,1,5,1,2,0,0,0,0,1,1,1,56,57,89,85,44,29,140848,27211,29,44,77847,68607,4,3,998499,944576,58,0,141,128,64198,19480,112439,120244,726,830,195,125,-0.45,0.575,-1.5,-0.7,58.725,113.775,116.25,315.625,52.475,143.95,-3.3,198.25,Tryndamere,Elise,TwistedFate,Blitzcrank,5,9,9,4,Fighter,Mage,Mage,Tank,Volibear,Shaco,Ziggs,Jinx,3,9,4,6,Fighter,Assassin,Mage,Marksman
1,1237,CLASSIC,0,0,3,0,1,0,0,1,1,1,1,1,31,9,56,52,24,9,45365,14363,9,24,40257,31235,3,0,346068,312549,25,0,91,59,16008,19344,46466,32127,431,390,80,52,0,0,-0.45,3.75,0,0,-412.2,-83.45,0,0,23.95,113.5,Heimerdinger,Viego,Lux,Leona,8,5,5,4,Mage,Assassin,Mage,Tank,,Twitch,Sylas,Yuumi,0,6,5,2,,Marksman,Mage,Support
0,2191,CLASSIC,0,2,1,5,1,1,0,0,0,0,1,0,40,33,79,80,32,23,66065,108379,23,32,63019,65884,1,0,713277,754799,1,23,99,125,38110,41928,82803,114220,685,615,165,193,0.8,0.475,1.2,0.275,312.45,424.025,195.5,491,-18.55,118.575,89.05,94.8,Garen,Hecarim,Fizz,Blitzcrank,5,6,6,4,Fighter,Fighter,Assassin,Tank,Jax,Kindred,Syndra,Tristana,5,4,8,4,Fighter,Marksman,Mage,Marksman
0,1787,CLASSIC,0,1,0,5,0,1,0,0,0,0,0,0,20,50,67,76,16,31,22413,80027,31,16,47895,61263,1,4,575089,692531,4,21,50,124,38329,37348,61341,79037,594,671,146,139,-0.65,0.05,-2.55,-0.75,35.7,114.95,358.05,-121.55,-41.35,-19.55,-71.7,-49.1,Fiora,Olaf,Vladimir,Seraphine,3,3,7,0,Fighter,Fighter,Mage,Mage,DrMundo,Skarner,Malzahar,Swain,5,5,6,8,Fighter,Fighter,Mage,Mage
0,2938,CLASSIC,3,1,3,5,2,0,1,1,1,1,1,1,52,61,90,90,36,50,132281,85061,50,36,92707,93575,2,6,1371376,1335763,45,16,365,142,55093,56267,140420,195347,1002,1030,275,220,4.091666667,-0.425,-2.658333333,0.358333333,501.2916667,105.3083333,-1.483333333,467.1583333,232.5333333,-87.59166667,-109.625,56.31666667,Nasus,Nocturne,Varus,Leona,6,4,2,4,Fighter,Assassin,Marksman,Tank,Akali,Viego,Ahri,Teemo,7,5,5,6,Assassin,Assassin,Mage,Marksman
1,1966,CLASSIC,1,0,2,1,2,0,1,1,1,1,1,1,60,36,75,72,30,23,89133,26027,23,30,60981,52556,2,1,684369,591059,40,33,126,141,43258,39851,109557,92114,608,608,196,148,0,-0.433333333,0,0,0,-174.6,0,0,0,-45.96666667,0,0,Volibear,Fiddlesticks,Thresh,,3,9,7,0,Fighter,Mage,Support,,Gnar,Rengar,Zoe,Lucian,8,8,5,6,Fighter,Assassin,Mage,Marksman
0,1624,CLASSIC,0,0,0,3,0,1,0,0,0,0,0,1,21,27,64,73,19,40,11485,52455,40,19,42912,54002,1,4,414569,596403,0,47,83,86,14252,36180,71355,81443,518,543,90,154,-0.6,0.2,-0.6,-1.2,23.05,-110.75,212.65,-53.4,-187.15,-140.7,-68.8,-13.65,Tristana,Shaco,Anivia,Kaisa,4,9,10,6,Marksman,Assassin,Mage,Marksman,Aatrox,Kayn,Neeko,Sivir,4,8,5,4,Fighter,Fighter,Mage,Marksman
0,1310,CLASSIC,0,0,1,1,1,0,0,0,0,0,1,0,21,28,56,59,22,31,20698,23218,31,22,37785,43856,1,6,283693,395048,1,16,85,57,13388,13883,43573,57730,311,417,101,66,0,-0.2,0,-0.55,0,-12.05,0,580.35,0,-101.8,0,23.45,Camille,Shaco,Zoe,Pyke,4,9,5,7,Fighter,Assassin,Mage,Support,Jayce,Evelynn,,Karma,7,10,0,5,Fighter,Assassin,,Mage
1,2561,CLASSIC,0,2,5,1,0,1,0,1,1,1,0,1,67,76,85,88,45,43,71170,67039,43,45,78886,76723,4,5,863858,875184,47,19,179,241,49188,70714,174970,158100,688,693,211,161,1.975,-0.925,-1.125,1.3,188.225,-707.675,50.475,-168.2,109.475,-5.7,-65.875,52.625,Garen,Olaf,Fiora,MissFortune,5,3,3,1,Fighter,Fighter,Fighter,Marksman,Darius,Trundle,Yone,Neeko,2,5,8,5,Fighter,Fighter,Assassin,Mage
0,2322,CLASSIC,2,0,4,2,1,1,1,0,1,1,0,0,52,64,79,84,27,41,87223,61711,41,27,67116,73724,4,6,735318,900167,13,8,212,156,51849,41570,113534,120995,668,772,217,163,-1.175,1.375,0,0,50.825,32.025,0,0,31.575,-2.075,0,0,Gnar,Lillia,Zed,Rell,8,8,7,0,Fighter,Fighter,Assassin,Tank,Fiora,Shaco,Veigar,Blitzcrank,3,9,7,4,Fighter,Assassin,Mage,Tank
0,2307,CLASSIC,0,1,1,5,0,1,0,0,0,0,0,0,30,52,76,81,21,32,28906,95442,32,21,58898,71988,2,6,702529,872153,0,25,201,130,39244,54463,74211,120723,654,648,188,214,-1.15,-1.35,0,0,200.5,168.1,0,0,-57.75,-29.45,0,0,Chogath,Shaco,Ahri,Alistar,5,9,5,7,Tank,Assassin,Mage,Tank,Viego,Kindred,,Janna,5,4,0,7,Assassin,Marksman,,Support
1,2073,CLASSIC,2,0,4,1,1,0,1,1,1,1,1,1,56,43,82,77,43,35,86162,26117,35,43,67056,58493,6,4,646193,647961,27,20,112,144,41220,39009,117250,98215,537,508,133,96,-0.666666667,-0.7,0,0,170.1,-106.7666667,0,0,-93.33333333,83.7,0,0,Jax,XinZhao,Velkoz,Shaco,5,2,8,9,Fighter,Fighter,Mage,Assassin,Udyr,Kayn,,Qiyana,7,8,0,8,Fighter,Fighter,,Assassin
0,1930,CLASSIC,1,0,3,2,0,1,1,1,1,0,0,0,20,63,71,77,13,32,44267,55997,32,13,51232,60723,2,3,612273,667697,13,15,97,77,34077,34834,57385,95133,608,653,141,118,-2.233333333,0.533333333,0,0,342.6,323.7,0,0,-83.3,-5.5,0,0,Garen,Kayn,Ryze,Lulu,5,8,7,5,Fighter,Fighter,Mage,Support,Ornn,LeeSin,Kaisa,Yuumi,5,6,6,2,Tank,Fighter,Marksman,Support
0,1744,CLASSIC,0,1,0,4,0,0,0,0,0,0,0,0,16,47,68,74,20,25,21859,51157,25,20,46600,53943,1,2,544953,612042,12,28,49,137,31930,49157,72403,84935,587,565,148,159,-0.25,-0.25,2.5,-1.4,-31.25,66.45,140.5,112.5,-39.85,-48.45,188.35,-1.85,MonkeyKing,Shyvana,Fizz,Tristana,3,4,6,4,Fighter,Fighter,Assassin,Marksman,Gnar,Lillia,Anivia,Sivir,8,8,10,4,Fighter,Fighter,Mage,Marksman
0,1884,CLASSIC,0,1,2,3,1,0,0,1,1,0,1,0,24,30,69,76,23,30,45052,64728,30,23,51667,59289,1,2,557560,677629,3,21,159,124,36275,43861,96029,77489,525,633,131,122,0.033333333,1,-1.8,-2.333333333,-295.0666667,154.3,-336.7,-274.5333333,31.2,-35.03333333,-54.63333333,-247.6,Gnar,Khazix,Fizz,Senna,8,6,6,7,Fighter,Assassin,Assassin,Marksman,Chogath,Rengar,Ekko,MissFortune,5,8,8,1,Tank,Assassin,Assassin,Marksman
0,1493,CLASSIC,0,1,2,1,1,1,0,0,1,0,1,0,10,24,61,69,9,26,24104,61724,26,9,35985,51113,0,3,386968,527833,0,27,67,62,20425,26866,42581,58566,493,605,97,132,0,0.15,0,-0.6,0,314.25,0,412.5,0,-55.3,0,-67.65,Sett,Hecarim,Yone,Gragas,2,6,8,5,Fighter,Fighter,Assassin,Fighter,,Vi,Ekko,Ezreal,0,4,8,7,,Fighter,Assassin,Marksman
1,2469,CLASSIC,0,0,4,3,1,0,0,0,1,1,1,0,57,53,84,83,28,27,65033,52646,27,28,69872,65657,4,1,959554,835599,28,8,215,131,41736,44817,120585,110424,840,730,303,249,2.075,0.675,0.45,-0.825,-198.975,-43.5,-73.325,185.025,59.975,4.675,-20.15,-56.3,Garen,Amumu,Seraphine,Jhin,5,3,0,6,Fighter,Tank,Mage,Marksman,Sett,Vi,Ahri,Zilean,2,4,5,6,Fighter,Fighter,Mage,Support
0,2058,CLASSIC,0,0,3,2,1,1,0,1,1,0,1,1,55,70,73,74,37,51,44706,38801,51,37,59488,63336,0,1,573771,571375,21,19,195,190,48972,38028,106791,142994,478,478,133,123,0.966666667,-1,0.066666667,0.133333333,316.6666667,310.4666667,274.7666667,18.56666667,141.4333333,-115.4333333,-175.9333333,46.86666667,Udyr,Trundle,Viktor,Aphelios,7,5,9,10,Fighter,Fighter,Mage,Marksman,Fiora,Viego,Shaco,Caitlyn,3,5,9,6,Fighter,Assassin,Assassin,Marksman
1,2430,CLASSIC,2,1,3,3,0,2,0,1,1,0,0,0,77,37,88,84,41,24,76060,82854,24,41,75158,74657,2,2,869799,1020206,0,33,245,79,56701,45063,119531,120175,776,830,180,177,-1.175,-0.175,-0.675,0.525,-87.25,-264.65,-38.675,0.925,106.875,17.1,2.1,126.625,Riven,Rammus,Morgana,Leona,8,5,1,4,Fighter,Tank,Mage,Tank,Irelia,Udyr,Zed,Twitch,5,7,7,6,Fighter,Fighter,Assassin,Marksman
1,1901,CLASSIC,0,0,3,1,1,0,0,0,1,1,1,0,62,43,75,71,40,32,59117,33566,32,40,60655,55408,4,2,633254,548163,18,4,147,130,38383,41863,117792,93910,542,509,144,116,0,0,0.3,1.5,0,0,-29.7,64.56666667,0,0,31.43333333,66.96666667,,Jax,Fizz,Jhin,0,5,6,6,,Fighter,Assassin,Marksman,Gnar,Nunu,Yone,Kaisa,8,4,8,6,Fighter,Tank,Assassin,Marksman
0,1047,CLASSIC,0,0,0,3,0,2,0,0,0,0,0,0,6,20,49,53,5,17,8748,47935,17,6,26032,34702,0,1,285931,327706,0,8,59,57,13780,19298,23802,30961,376,389,59,69,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,
